timestamp,operating_mode,event_ground_truth,flow_in,flow_out,P_st1,P_st2,P_st3,P_st4,P_st5,P_st6
6.5,Flowing,NORMAL,501.74,499.22,49.928,42.039,33.894,26.147,18.094,9.962
6.6,Flowing,NORMAL,499.74,499.4,49.863,42.108,33.991,26.099,17.872,9.952
6.7,Flowing,NORMAL,499.12,499.75,50.0,42.004,33.964,26.05,17.915,9.989
6.8,Flowing,NORMAL,499.87,499.52,50.01,42.041,34.057,25.91,17.877,10.102
6.9,Flowing,NORMAL,501.09,498.43,50.027,41.94,34.124,26.009,18.094,10.005
7.0,Flowing,NORMAL,501.36,499.79,50.165,42.14,33.98,26.078,18.052,10.109
7.1,Flowing,NORMAL,498.35,501.0,49.923,42.055,34.085,25.859,17.905,9.837
7.2,Flowing,NORMAL,500.14,498.44,49.978,42.057,34.12,26.006,18.13,9.89
7.3,Flowing,NORMAL,498.28,500.21,49.864,41.996,34.031,25.997,17.835,9.993
7.4,Flowing,NORMAL,501.06,500.18,49.896,42.054,34.029,25.925,17.959,9.915
7.5,Flowing,NORMAL,500.51,499.64,49.995,42.076,33.921,26.04,17.958,9.937
7.6,Flowing,NORMAL,498.89,500.6,49.991,41.917,33.956,25.904,18.157,10.003
7.7,Flowing,NORMAL,501.84,500.48,49.944,42.017,33.991,25.982,18.049,10.061
7.8,Flowing,NORMAL,500.4,499.55,49.958,41.954,33.978,25.816,17.879,10.109
7.9,Flowing,NORMAL,500.27,501.27,50.132,41.98,34.046,26.025,18.246,10.09
8.0,Flowing,NORMAL,499.79,500.67,49.99,41.924,33.871,26.016,17.939,9.886
8.1,Flowing,NORMAL,499.99,501.89,49.948,41.913,34.135,26.071,17.999,10.118
8.2,Flowing,NORMAL,499.54,499.92,50.006,41.931,34.122,26.043,17.917,9.985
8.3,Flowing,NORMAL,499.11,499.61,49.93,41.889,34.074,26.153,17.888,10.045
8.4,Flowing,NORMAL,501.47,499.75,49.948,41.961,33.953,25.931,18.004,9.934
8.5,Flowing,NORMAL,499.41,501.41,50.022,41.996,33.981,25.927,17.954,10.06
8.6,Flowing,NORMAL,499.37,499.82,50.04,41.922,34.008,26.06,17.866,10.043
8.7,Flowing,NORMAL,499.84,499.89,49.947,42.046,33.939,25.856,17.87,10.004
8.8,Flowing,NORMAL,501.71,502.35,50.021,41.928,34.051,25.867,17.995,9.903
8.9,Flowing,NORMAL,501.36,498.39,49.948,42.004,33.931,25.969,18.081,9.954
9.0,Flowing,NORMAL,499.53,500.43,50.067,41.91,34.042,26.115,17.802,9.936
9.1,Flowing,NORMAL,501.47,499.93,50.046,41.984,34.03,25.952,18.007,9.988
9.2,Flowing,NORMAL,500.13,499.7,50.093,42.02,34.027,25.967,17.961,9.965
9.3,Flowing,NORMAL,498.99,498.86,50.032,41.966,34.023,26.166,18.07,9.974
9.4,Flowing,NORMAL,499.43,499.2,50.096,41.967,33.837,25.919,17.85,9.972
9.5,Flowing,NORMAL,501.65,499.51,50.001,42.134,34.026,25.982,18.066,9.823
9.6,Flowing,NORMAL,502.5,500.59,50.019,42.062,33.882,26.092,18.027,9.967
9.7,Flowing,NORMAL,500.38,501.02,50.051,42.182,34.015,26.02,17.963,9.932
9.8,Flowing,NORMAL,499.32,497.87,50.066,41.932,34.006,25.962,18.038,10.027
9.9,Flowing,NORMAL,499.85,498.56,50.083,41.959,33.978,25.922,17.964,10.03
10.0,Flowing,NORMAL,499.09,500.66,50.061,41.926,34.07,26.108,18.033,10.15
10.1,Flowing,NORMAL,499.26,500.76,49.938,41.9,33.858,26.12,18.052,9.996
10.2,Flowing,NORMAL,499.14,498.24,50.022,41.91,34.196,26.01,18.009,10.058
10.3,Flowing,NORMAL,499.9,501.05,50.038,42.018,33.937,26.038,18.151,10.108
10.4,Flowing,NORMAL,500.14,499.98,50.127,41.959,33.921,25.99,18.004,10.088
10.5,Flowing,NORMAL,499.82,500.9,49.865,42.122,33.987,25.966,17.919,9.868
10.6,Flowing,NORMAL,499.73,498.98,50.066,42.006,33.897,25.896,17.973,10.134
10.7,Flowing,NORMAL,500.91,498.33,49.979,41.88,33.98,25.978,17.784,9.996
10.8,Flowing,NORMAL,499.72,499.63,49.982,42.056,34.148,26.09,17.978,9.911
10.9,Flowing,NORMAL,499.8,499.68,50.206,42.005,34.001,25.998,18.016,9.988
11.0,Flowing,NORMAL,499.79,499.62,49.954,41.956,33.997,25.957,17.943,10.009
11.1,Flowing,NORMAL,501.85,499.53,49.98,42.12,33.788,26.087,18.1,9.834
11.2,Flowing,NORMAL,499.41,502.03,49.973,41.97,33.887,25.938,17.911,10.14
11.3,Flowing,NORMAL,500.72,497.96,50.075,42.102,34.058,25.91,17.958,10.039
11.4,Flowing,NORMAL,499.1,498.99,49.902,42.057,33.981,25.97,18.057,10.036
11.5,Flowing,NORMAL,500.42,499.5,49.971,42.093,33.914,26.049,18.047,9.975
11.6,Flowing,NORMAL,500.66,500.03,50.026,41.9,34.074,25.985,17.958,10.084
11.7,Flowing,NORMAL,501.3,500.85,49.944,41.887,33.875,26.048,17.898,10.14
11.8,Flowing,NORMAL,499.54,501.04,49.833,42.136,34.017,25.992,17.956,10.032
11.9,Flowing,NORMAL,498.66,501.29,49.997,42.088,34.009,26.012,17.971,9.995
12.0,Flowing,NORMAL,499.06,500.58,50.025,41.863,33.892,26.059,18.014,9.985
12.1,Flowing,NORMAL,501.16,497.92,50.001,42.028,33.957,25.938,18.016,9.922
12.2,Flowing,NORMAL,502.5,498.0,50.033,41.864,34.082,26.038,18.02,10.079
12.3,Flowing,NORMAL,501.0,501.38,50.133,42.081,33.853,25.898,17.95,10.002
12.4,Flowing,NORMAL,498.49,501.3,50.041,41.942,34.015,25.94,17.951,9.887
12.5,Flowing,NORMAL,500.96,500.76,49.926,41.892,33.922,26.084,17.924,10.211
12.6,Flowing,NORMAL,498.87,499.02,50.039,42.015,33.931,26.056,17.954,10.01
12.7,Flowing,NORMAL,499.58,499.61,50.205,41.992,34.092,25.944,17.997,10.142
12.8,Flowing,NORMAL,500.22,499.52,49.95,42.145,34.057,25.955,18.051,10.078
12.9,Flowing,NORMAL,500.43,498.77,50.05,41.874,33.942,25.98,17.994,10.05
13.0,Flowing,NORMAL,500.08,500.31,50.014,41.893,34.03,26.049,18.045,10.086
13.1,Flowing,NORMAL,499.28,502.59,50.067,42.037,33.994,25.867,18.034,10.017
13.2,Flowing,NORMAL,501.27,499.41,50.022,41.898,33.914,26.084,17.997,10.055
13.3,Flowing,NORMAL,499.37,501.56,50.002,42.002,34.075,25.959,18.008,9.963
13.4,Flowing,NORMAL,501.51,498.94,49.965,41.975,34.018,25.962,18.1,9.928
13.5,Flowing,NORMAL,498.37,498.16,49.985,41.965,34.116,26.016,18.083,9.881
13.6,Flowing,NORMAL,500.26,501.18,50.021,42.071,34.007,26.085,17.959,10.113
13.7,Flowing,NORMAL,498.53,499.74,50.184,41.971,33.964,26.116,18.126,9.958
13.8,Flowing,NORMAL,499.0,501.53,49.966,41.977,33.892,25.927,17.92,9.939
13.9,Flowing,NORMAL,499.38,501.77,49.997,42.019,34.124,25.92,18.079,9.983
14.0,Flowing,NORMAL,501.82,499.67,49.996,42.054,33.91,26.031,18.013,10.039
14.1,Flowing,NORMAL,501.57,501.61,50.023,42.196,33.949,25.958,17.95,9.956
14.2,Flowing,NORMAL,501.05,498.95,49.949,42.095,34.114,25.954,17.933,10.038
14.3,Flowing,NORMAL,500.04,498.93,49.956,42.051,34.016,25.879,18.124,10.144
14.4,Flowing,NORMAL,500.23,501.29,49.951,41.969,34.023,26.027,18.053,10.161
14.5,Flowing,NORMAL,501.52,498.14,49.986,41.936,33.89,25.942,17.997,10.144
14.6,Flowing,NORMAL,500.84,500.0,49.959,42.018,33.999,26.095,18.202,9.958
14.7,Flowing,NORMAL,500.02,501.5,49.961,42.084,34.055,26.148,18.047,9.971
14.8,Flowing,NORMAL,501.78,501.58,50.047,42.089,34.066,26.041,18.085,10.094
14.9,Flowing,NORMAL,500.98,499.48,50.111,42.052,33.987,26.012,18.097,9.935
15.0,Flowing,NORMAL,500.29,501.21,50.029,41.969,34.002,26.102,18.015,10.004
15.1,Flowing,NORMAL,499.45,498.65,49.891,42.06,34.052,26.173,17.975,10.018
15.2,Flowing,NORMAL,499.34,499.2,50.02,42.126,33.992,26.022,18.049,10.015
15.3,Flowing,NORMAL,499.6,500.28,49.964,42.016,34.086,25.918,18.011,9.944
15.4,Flowing,NORMAL,500.55,500.45,50.096,41.878,33.955,26.03,18.125,9.995
15.5,Flowing,NORMAL,501.0,498.74,49.956,42.15,33.884,25.824,18.035,9.96
15.6,Flowing,NORMAL,498.27,502.23,49.918,42.057,34.02,25.955,17.898,10.07
15.7,Flowing,NORMAL,497.66,497.75,50.052,41.992,34.148,25.914,17.878,9.945
15.8,Flowing,NORMAL,498.86,500.07,49.996,42.019,33.981,26.028,17.9,10.116
15.9,Flowing,NORMAL,499.51,500.24,49.993,42.089,34.027,26.037,18.046,10.036
16.0,Flowing,NORMAL,501.44,497.9,50.051,42.106,34.016,26.057,17.993,10.115
16.1,Flowing,NORMAL,499.66,501.59,49.946,42.144,33.997,25.886,18.01,9.946
16.2,Flowing,NORMAL,500.31,499.11,50.067,41.948,33.964,25.849,17.964,9.806
16.3,Flowing,NORMAL,500.5,500.12,49.873,42.061,34.063,26.034,17.923,9.996
16.4,Flowing,NORMAL,498.77,500.39,50.0,41.907,34.12,26.07,17.982,10.002
16.5,Flowing,NORMAL,501.75,498.25,50.017,41.837,33.98,25.945,17.92,9.978
16.6,Flowing,NORMAL,499.2,498.71,50.144,42.051,33.954,26.046,18.112,10.074
16.7,Flowing,NORMAL,501.87,501.88,50.005,41.948,34.056,26.031,18.072,10.051
16.8,Flowing,NORMAL,499.85,499.92,50.084,41.957,34.105,26.016,18.166,9.945
16.9,Flowing,NORMAL,499.59,496.76,50.139,42.016,33.948,25.961,17.974,10.034
17.0,Flowing,NORMAL,498.67,499.64,50.042,41.954,33.998,26.171,18.138,10.035
17.1,Flowing,NORMAL,500.24,499.96,50.003,42.01,34.049,25.918,17.979,9.867
17.2,Flowing,NORMAL,502.71,500.26,50.032,42.052,33.961,26.126,17.902,9.883
17.3,Flowing,NORMAL,500.5,497.6,50.018,42.084,34.135,25.963,18.086,9.997
17.4,Flowing,NORMAL,500.32,499.96,49.986,42.071,34.052,25.874,18.118,10.11
17.5,Flowing,NORMAL,499.2,499.0,49.95,42.032,34.04,26.021,17.956,9.946
17.6,Flowing,NORMAL,500.71,500.27,49.998,42.094,34.043,25.97,18.062,9.772
17.7,Flowing,NORMAL,500.19,500.61,50.092,41.861,33.971,25.91,17.896,10.093
17.8,Flowing,NORMAL,499.92,500.48,49.963,42.028,33.996,26.038,18.006,9.897
17.9,Flowing,NORMAL,500.59,501.68,50.08,41.96,33.875,25.966,18.12,10.068
18.0,Flowing,NORMAL,497.82,502.63,49.972,41.972,33.974,26.166,18.031,10.034
18.1,Flowing,NORMAL,499.88,498.64,50.082,42.019,33.979,25.984,17.994,9.997
18.2,Flowing,NORMAL,498.56,499.54,50.058,42.004,34.059,25.994,18.006,9.84
18.3,Flowing,NORMAL,500.03,500.89,50.073,42.028,34.08,25.768,18.167,9.989
18.4,Flowing,NORMAL,499.13,499.85,50.089,41.917,34.049,25.916,17.95,10.153
18.5,Flowing,NORMAL,499.21,496.73,49.985,42.017,34.07,26.04,18.012,10.029
18.6,Flowing,NORMAL,498.4,499.77,50.192,41.995,34.016,26.084,18.088,10.095
18.7,Flowing,NORMAL,501.34,501.48,50.051,41.909,34.131,25.908,18.024,9.94
18.8,Flowing,NORMAL,499.19,498.33,49.995,42.026,34.026,26.034,18.129,10.036
18.9,Flowing,NORMAL,499.25,500.26,49.98,42.077,34.095,25.902,18.048,10.056
19.0,Flowing,NORMAL,501.84,497.71,49.976,42.11,33.988,26.01,17.986,10.001
19.1,Flowing,NORMAL,500.68,501.04,49.912,41.885,34.128,25.932,17.921,9.828
19.2,Flowing,NORMAL,497.56,500.29,49.949,41.894,34.131,26.081,17.945,10.18
19.3,Flowing,NORMAL,501.66,499.32,50.079,41.974,33.8,26.183,17.889,9.868
19.4,Flowing,NORMAL,501.98,499.5,50.082,42.195,34.111,26.045,18.048,10.068
19.5,Flowing,NORMAL,501.87,498.2,50.061,42.022,34.008,25.995,17.94,9.978
19.6,Flowing,NORMAL,500.8,501.21,49.865,41.992,33.921,25.912,18.014,10.111
19.7,Flowing,NORMAL,498.68,499.04,50.073,41.874,33.921,26.075,17.921,9.982
19.8,Flowing,NORMAL,499.94,500.6,50.044,41.923,34.008,25.893,17.952,10.026
19.9,Flowing,NORMAL,498.26,498.85,49.873,42.035,33.998,26.044,18.018,10.109
20.0,Flowing,NORMAL,498.96,502.64,50.01,41.966,34.01,26.043,18.004,10.003
20.1,Flowing,NORMAL,498.67,501.87,49.944,41.947,33.888,26.14,17.9,9.945
20.2,Flowing,NORMAL,499.25,502.49,49.943,42.072,33.976,26.1,17.946,10.022
20.3,Flowing,NORMAL,500.2,502.63,49.933,42.172,33.905,26.025,18.051,10.033
20.4,Flowing,NORMAL,499.47,499.24,49.985,41.99,34.004,25.988,18.077,10.177
20.5,Flowing,NORMAL,499.41,498.94,49.955,41.89,33.993,26.206,17.936,10.131
20.6,Flowing,NORMAL,499.65,502.43,50.134,41.956,34.046,26.13,17.97,9.984
20.7,Flowing,NORMAL,501.8,499.83,49.953,41.919,33.948,25.902,18.003,9.938
20.8,Flowing,NORMAL,502.6,501.0,50.019,41.876,34.026,26.067,17.841,10.03
20.9,Flowing,NORMAL,499.46,499.26,50.098,41.903,34.134,26.034,17.944,9.996
21.0,Flowing,NORMAL,500.4,499.27,50.045,42.006,34.043,25.926,18.014,9.887
21.1,Flowing,NORMAL,498.99,501.0,49.991,41.928,33.941,26.099,18.087,10.049
21.2,Flowing,NORMAL,500.92,497.64,49.913,41.975,34.097,26.011,18.186,10.031
21.3,Flowing,NORMAL,499.43,500.94,50.015,41.975,34.011,25.988,18.057,10.077
21.4,Flowing,NORMAL,499.15,500.63,49.937,41.894,33.853,26.041,17.912,9.828
21.5,Flowing,NORMAL,502.4,499.36,50.031,42.199,34.0,26.067,18.007,9.992
21.6,Flowing,NORMAL,498.37,500.03,50.074,41.977,34.021,26.026,17.947,10.079
21.7,Flowing,NORMAL,497.06,500.22,49.986,41.94,34.043,25.928,18.002,9.999
21.8,Flowing,NORMAL,500.88,500.28,50.087,42.038,33.998,26.065,18.111,10.045
21.9,Flowing,NORMAL,499.56,500.83,50.001,41.895,33.915,25.976,17.951,9.985
22.0,Flowing,NORMAL,499.22,499.02,50.005,42.042,33.994,26.039,18.005,9.842
22.1,Flowing,NORMAL,503.28,503.24,49.925,41.988,33.903,26.048,18.122,10.098
22.2,Flowing,NORMAL,500.88,499.75,49.983,42.119,34.012,25.973,17.951,9.976
22.3,Flowing,NORMAL,499.93,499.84,49.969,42.014,34.013,26.0,18.035,10.095
22.4,Flowing,NORMAL,499.15,502.33,50.076,41.881,33.796,26.075,17.891,9.982
22.5,Flowing,NORMAL,500.53,497.81,49.906,41.856,34.043,26.061,17.954,9.793
22.6,Flowing,NORMAL,497.92,502.32,49.956,42.031,33.882,26.015,17.999,10.046
22.7,Flowing,NORMAL,499.38,500.11,50.01,41.922,34.096,25.987,17.998,9.925
22.8,Flowing,NORMAL,499.96,499.36,49.965,41.929,33.986,26.137,17.89,9.871
22.9,Flowing,NORMAL,500.26,498.66,50.118,41.983,33.946,26.083,17.952,10.146
23.0,Flowing,NORMAL,499.83,498.48,50.054,41.961,34.173,25.952,18.059,10.024
23.1,Flowing,NORMAL,499.17,499.59,50.104,42.125,34.003,25.94,18.037,9.946
23.2,Flowing,NORMAL,501.1,500.33,50.161,42.011,33.971,26.015,17.892,9.922
23.3,Flowing,NORMAL,498.02,500.75,50.096,41.947,33.916,26.043,18.095,10.058
23.4,Flowing,NORMAL,499.67,500.32,50.08,41.939,33.886,26.12,17.974,9.98
23.5,Flowing,NORMAL,499.38,499.39,50.106,42.044,34.036,26.173,17.949,10.074
23.6,Flowing,NORMAL,501.21,501.61,50.005,42.021,34.122,26.041,18.043,10.086
23.7,Flowing,NORMAL,499.45,503.21,49.971,41.933,33.916,25.843,18.164,9.912
23.8,Flowing,NORMAL,500.53,501.79,49.982,41.978,34.025,26.065,18.069,9.953
23.9,Flowing,NORMAL,500.4,499.57,49.987,42.023,33.98,26.129,18.039,10.059
24.0,Flowing,NORMAL,497.8,500.6,50.053,42.094,34.014,25.896,18.032,9.948
24.1,Flowing,NORMAL,499.92,500.68,49.958,42.047,34.099,26.002,18.025,10.136
24.2,Flowing,NORMAL,497.91,501.92,50.019,42.208,34.045,25.859,18.06,10.03
24.3,Flowing,NORMAL,500.42,499.59,50.103,42.054,33.989,25.902,17.983,9.932
24.4,Flowing,NORMAL,499.12,498.84,49.954,42.047,34.134,26.032,17.904,10.036
24.5,Flowing,NORMAL,501.42,501.36,50.096,41.951,33.989,26.001,17.937,10.052
24.6,Flowing,NORMAL,499.78,500.49,49.99,42.034,33.929,25.965,18.058,9.97
24.7,Flowing,NORMAL,499.08,498.67,50.138,41.968,34.018,26.075,17.887,9.859
24.8,Flowing,NORMAL,501.44,500.85,49.878,42.101,33.956,26.205,17.955,10.015
24.9,Flowing,NORMAL,498.95,502.21,50.123,42.16,34.165,26.097,18.082,10.047
25.0,Flowing,NORMAL,501.07,499.17,50.062,41.956,33.935,26.0,17.986,9.964
25.1,Flowing,NORMAL,500.56,498.93,50.056,42.076,34.007,26.118,17.909,9.985
25.2,Flowing,NORMAL,499.56,500.04,49.943,41.851,33.993,25.99,18.121,10.05
25.3,Flowing,NORMAL,498.4,500.82,49.918,42.148,34.098,26.047,17.982,9.923
25.4,Flowing,NORMAL,501.49,499.91,49.97,42.087,34.151,26.123,17.961,9.91
25.5,Flowing,NORMAL,500.6,501.36,50.011,41.859,34.026,25.988,17.963,9.872
25.6,Flowing,NORMAL,499.07,500.31,50.041,41.957,33.906,25.77,17.998,10.142
25.7,Flowing,NORMAL,500.29,501.21,50.133,41.963,33.952,26.038,17.92,10.024
25.8,Flowing,NORMAL,501.21,499.14,50.061,42.098,33.992,25.984,17.93,9.934
25.9,Flowing,NORMAL,500.13,498.53,49.982,42.029,34.073,25.936,18.119,9.978
26.0,Flowing,NORMAL,500.29,499.59,49.998,41.94,33.806,26.071,18.059,9.977
26.1,Flowing,NORMAL,501.24,498.38,50.005,42.041,33.875,25.958,18.064,9.9
26.2,Flowing,NORMAL,501.84,500.49,50.023,41.891,34.037,25.997,17.871,10.093
26.3,Flowing,NORMAL,499.86,497.58,49.941,41.935,34.016,26.092,17.919,10.005
26.4,Flowing,NORMAL,498.4,499.46,50.034,42.055,34.014,25.971,17.934,10.007
26.5,Flowing,NORMAL,498.44,499.66,49.914,41.766,34.035,26.072,17.811,9.919
26.6,Flowing,NORMAL,499.17,498.74,50.05,42.165,34.002,25.942,17.985,10.11
26.7,Flowing,NORMAL,498.88,499.63,49.948,41.936,33.961,25.924,18.01,10.13
26.8,Flowing,NORMAL,497.98,500.01,50.026,41.98,33.977,25.875,18.071,9.994
26.9,Flowing,NORMAL,502.22,501.52,49.986,42.255,34.024,25.94,17.966,10.092
27.0,Flowing,NORMAL,500.63,498.75,50.009,41.885,34.074,25.947,18.15,10.086
27.1,Flowing,NORMAL,499.37,500.43,49.964,42.102,34.005,26.068,18.039,9.932
27.2,Flowing,NORMAL,499.96,500.67,49.949,42.082,33.973,25.968,17.924,10.034
27.3,Flowing,NORMAL,497.86,499.97,50.165,41.915,34.002,26.113,17.994,10.036
27.4,Flowing,NORMAL,501.39,499.4,49.915,42.034,33.985,26.079,18.095,10.207
27.5,Flowing,NORMAL,497.66,498.63,50.046,42.026,34.016,25.972,18.027,9.976
27.6,Flowing,NORMAL,500.61,502.28,50.013,42.105,33.919,26.091,18.105,9.991
27.7,Flowing,NORMAL,497.79,500.09,49.83,41.951,34.104,25.998,17.92,9.96
27.8,Flowing,NORMAL,499.5,499.62,50.067,42.044,33.981,25.971,17.969,9.926
27.9,Flowing,NORMAL,501.49,502.55,50.129,41.974,34.097,26.122,18.08,9.965
28.0,Flowing,NORMAL,498.04,500.27,50.032,41.998,33.928,26.026,17.906,10.095
28.1,Flowing,NORMAL,499.82,503.05,49.963,42.016,34.023,25.979,18.047,9.962
28.2,Flowing,NORMAL,500.75,498.3,50.07,41.892,34.01,26.155,17.92,9.946
28.3,Flowing,NORMAL,500.56,499.72,50.041,42.014,34.028,26.039,18.051,10.089
28.4,Flowing,NORMAL,500.08,498.36,50.033,41.981,34.054,26.152,17.989,9.922
28.5,Flowing,NORMAL,500.59,499.85,50.089,41.99,33.826,26.068,17.957,9.993
28.6,Flowing,NORMAL,499.27,499.85,50.027,42.015,34.057,25.965,18.041,9.979
28.7,Flowing,NORMAL,502.32,499.45,50.059,42.049,33.925,26.087,17.957,10.065
28.8,Flowing,NORMAL,498.07,500.06,50.029,42.147,33.982,25.972,17.998,9.976
28.9,Flowing,NORMAL,501.39,499.51,50.064,41.871,33.916,25.915,18.076,10.137
29.0,Flowing,NORMAL,500.23,499.87,49.992,41.986,34.006,26.093,17.926,10.019
29.1,Flowing,NORMAL,500.74,499.09,50.078,42.04,34.015,26.08,17.784,10.054
29.2,Flowing,NORMAL,500.95,501.73,49.948,41.854,34.041,26.11,17.989,10.076
29.3,Flowing,NORMAL,500.67,498.67,50.129,42.105,34.131,26.059,18.006,9.872
29.4,Flowing,NORMAL,499.03,500.25,49.98,41.933,34.174,25.986,18.01,10.044
